run_accession	actual	predicted_prob_R	predicted_class
SRR11413606	R	0.5	R
SRR11413607	NR	0.654	R
SRR11413608	R	0.536	R
SRR11413609	R	0.436	NR
SRR11413610	NR	0.756	R
SRR11413611	NR	0.584	R
SRR11413612	R	0.458	NR
SRR11413613	R	0.564	R
SRR11413614	R	0.512	R
SRR11413615	NR	0.516	R
SRR11413617	R	0.512	R
SRR11413618	NR	0.61	R
SRR11413619	R	0.54	R
SRR11413620	R	0.482	NR
SRR11413645	R	0.44	NR
SRR11413646	NR	0.612	R
SRR11413647	NR	0.578	R
SRR11413648	R	0.456	NR
SRR11413649	R	0.55	R
SRR11413650	R	0.4	NR
SRR11413652	R	0.644	R
SRR11413653	NR	0.662	R
SRR11413654	R	0.612	R
SRR11413655	NR	0.676	R
SRR11413656	R	0.504	R
SRR11413657	R	0.526	R
SRR11413678	R	0.476	NR
SRR11413679	R	0.514	R
SRR11413680	NR	0.544	R
SRR11413681	R	0.576	R
SRR11413683	R	0.49	NR
SRR11413684	R	0.416	NR
SRR11413685	NR	0.43	NR
SRR11413686	NR	0.694	R
SRR11413687	R	0.494	NR
SRR11413688	NR	0.588	R
SRR11413689	NR	0.586	R
SRR11413690	R	0.484	NR
SRR11413691	NR	0.642	R
SRR11413692	R	0.434	NR
SRR5930493	NR	0.514	R
SRR5930494	R	0.522	R
SRR5930495	R	0.636	R
SRR5930497	R	0.542	R
SRR5930498	R	0.6	R
SRR5930499	R	0.482	NR
SRR5930501	NR	0.578	R
SRR5930502	R	0.428	NR
SRR5930503	R	0.422	NR
SRR5930504	R	0.742	R
SRR5930505	R	0.63	R
SRR5930506	R	0.496	NR
SRR5930507	NR	0.498	NR
SRR5930508	NR	0.56	R
SRR5930509	NR	0.516	R
SRR5930510	NR	0.662	R
SRR5930511	R	0.558	R
SRR5930512	R	0.476	NR
SRR5930513	R	0.546	R
SRR5930514	R	0.536	R
SRR5930515	NR	0.678	R
SRR5930516	R	0.582	R
SRR5930517	NR	0.552	R
SRR5930518	NR	0.396	NR
SRR5930519	NR	0.602	R
SRR5930520	NR	0.626	R
SRR5930521	NR	0.702	R
SRR5930522	NR	0.554	R
SRR5930523	R	0.704	R
SRR5930526	NR	0.332	NR
SRR5930527	R	0.584	R
SRR5930528	NR	0.522	R
SRR5930529	R	0.684	R
SRR5930530	R	0.634	R
SRR5930531	R	0.558	R
SRR5930532	R	0.316	NR
SRR5930533	R	0.568	R
SRR5930534	R	0.546	R
SRR5930536	R	0.47	NR
SRR6000869	NR	0.42	NR
SRR6000870	R	0.688	R
SRR6000871	R	0.246	NR
SRR6000873	NR	0.604	R
SRR6000874	NR	0.498	NR
SRR6000877	NR	0.442	NR
SRR6000878	NR	0.344	NR
SRR6000890	NR	0.398	NR
SRR6000891	NR	0.388	NR
SRR6000892	NR	0.576	R
SRR6000893	R	0.528	R
SRR6000894	NR	0.626	R
SRR6000895	NR	0.422	NR
SRR6000896	NR	0.608	R
SRR6000899	NR	0.336	NR
SRR6000900	R	0.57	R
SRR6000901	R	0.642	R
SRR6000902	NR	0.378	NR
SRR6000903	R	0.62	R
SRR6000905	NR	0.596	R
SRR6000906	R	0.53	R
SRR6000907	NR	0.518	R
SRR6000908	R	0.518	R
SRR6000909	NR	0.536	R
SRR6000910	NR	0.386	NR
SRR6000911	R	0.502	R
SRR6000912	R	0.248	NR
SRR6000920	R	0.356	NR
SRR6000921	NR	0.398	NR
SRR6000931	R	0.76	R
SRR6000932	R	0.546	R
SRR6000940	NR	0.628	R
SRR6000942	NR	0.45	NR
SRR6000943	R	0.714	R
SRR6000944	NR	0.678	R
SRR6000945	NR	0.456	NR
SRR6000946	R	0.518	R
SRR6000947	NR	0.51	R
SRR6000949	NR	0.41	NR
